,uid,location,age,cluster
780,1756,united kingdom,21.0,1
783,1760,italy,39.0,1
784,1763,usa,25.0,1
786,1772,spain,33.0,1
788,1775,usa,14.0,1
789,1777,usa,19.0,1
790,1778,usa,25.0,1
791,1779,usa,33.0,1
794,1786,malaysia,21.0,1
796,1789,brazil,36.0,1
797,1790,usa,25.0,1
798,1794,usa,35.0,1
805,1810,spain,24.0,1
807,1815,spain,30.0,1
808,1816,india,18.0,1
810,1819,australia,13.0,1
811,1820,usa,16.0,1
812,1822,spain,22.0,1
813,1823,turkey,25.0,1
814,1824,usa,18.0,1
815,1825,usa,34.0,1
816,1826,netherlands,23.0,1
818,1831,united kingdom,25.0,1
822,1840,usa,21.0,1
823,1842,portugal,25.0,1
824,1843,germany,32.0,1
825,1845,usa,34.0,1
826,1849,spain,27.0,1
828,1856,usa,29.0,1
833,1874,usa,36.0,1
836,1880,united kingdom,36.0,1
837,1883,usa,20.0,1
839,1885,usa,27.0,1
840,1887,usa,14.0,1
842,1890,united kingdom,24.0,1
843,1893,spain,31.0,1
846,1899,usa,35.0,1
847,1906,germany,24.0,1
848,1907,spain,32.0,1
849,1908,spain,33.0,1
851,1912,germany,35.0,1
852,1914,spain,27.0,1
853,1916,spain,17.0,1
855,1918,united kingdom,23.0,1
858,1926,usa,31.0,1
859,1927,usa,20.0,1
862,1932,usa,34.0,1
863,1934,finland,18.0,1
864,1935,usa,23.0,1
865,1936,usa,24.0,1
867,1940,usa,34.0,1
870,1944,italy,25.0,1
871,1946,usa,23.0,1
872,1948,usa,34.0,1
873,1950,united kingdom,29.0,1
874,1952,spain,23.0,1
875,1953,united kingdom,22.0,1
877,1958,usa,23.0,1
878,1959,spain,20.0,1
879,1963,australia,24.0,1
881,1968,usa,31.0,1
883,1971,usa,25.0,1
884,1972,usa,20.0,1
887,1977,netherlands,24.0,1
888,1979,brazil,28.0,1
890,1989,usa,27.0,1
891,1991,usa,31.0,1
892,1997,usa,16.0,1
893,1999,usa,26.0,1
894,2000,india,19.0,1
895,2001,brazil,24.0,1
896,2003,united kingdom,21.0,1
897,2005,italy,30.0,1
899,2011,usa,28.0,1
900,2014,brazil,36.0,1
901,2018,canada,21.0,1
904,2025,usa,27.0,1
907,2029,united kingdom,30.0,1
908,2031,usa,34.0,1
909,2032,usa,29.0,1
910,2034,usa,35.0,1
911,2035,usa,15.0,1
915,2042,mexico,31.0,1
916,2047,usa,21.0,1
917,2048,spain,25.0,1
918,2049,spain,20.0,1
920,2052,usa,20.0,1
921,2054,usa,25.0,1
924,2062,italy,23.0,1
925,2064,spain,33.0,1
929,2070,usa,22.0,1
930,2071,spain,27.0,1
931,2072,spain,26.0,1
934,2082,usa,14.0,1
935,2085,new zealand,36.0,1
936,2086,spain,15.0,1
937,2088,usa,19.0,1
938,2091,usa,27.0,1
940,2095,usa,24.0,1
942,2101,usa,30.0,1
944,2114,usa,23.0,1
945,2118,spain,25.0,1
946,2120,usa,16.0,1
947,2121,germany,28.0,1
948,2122,usa,31.0,1
950,2124,australia,23.0,1
952,2126,united kingdom,24.0,1
953,2128,new zealand,32.0,1
954,2131,usa,25.0,1
955,2133,germany,15.0,1
956,2142,usa,34.0,1
957,2143,usa,22.0,1
958,2144,usa,22.0,1
960,2147,usa,35.0,1
962,2153,usa,30.0,1
965,2161,usa,32.0,1
966,2162,usa,18.0,1
968,2168,spain,27.0,1
969,2171,mexico,27.0,1
970,2173,germany,29.0,1
971,2177,usa,28.0,1
972,2180,usa,18.0,1
973,2181,canada,15.0,1
974,2186,usa,27.0,1
976,2194,italy,27.0,1
977,2199,australia,25.0,1
978,2200,usa,34.0,1
979,2201,united kingdom,34.0,1
981,2206,usa,26.0,1
982,2208,spain,18.0,1
983,2211,italy,23.0,1
984,2212,germany,22.0,1
985,2213,germany,15.0,1
986,2215,germany,33.0,1
987,2217,germany,37.0,1
988,2220,spain,27.0,1
990,2228,new zealand,26.0,1
991,2229,usa,27.0,1
993,2231,france,35.0,1
994,2233,canada,20.0,1
995,2235,canada,16.0,1
996,2238,usa,34.0,1
997,2239,usa,25.0,1
999,2247,australia,15.0,1
1000,2248,germany,19.0,1
1003,2254,usa,16.0,1
1005,2258,usa,21.0,1
1006,2259,usa,27.0,1
1009,2263,portugal,28.0,1
1010,2264,usa,33.0,1
1012,2268,spain,22.0,1
1013,2269,spain,19.0,1
1014,2272,canada,24.0,1
1015,2273,spain,27.0,1
1016,2274,usa,37.0,1
1017,2275,usa,22.0,1
1018,2278,usa,16.0,1
1019,2279,germany,18.0,1
1021,2282,usa,34.0,1
1022,2283,usa,18.0,1
1024,2294,usa,25.0,1
1025,2297,usa,28.0,1
1026,2300,turkey,19.0,1
1027,2301,usa,24.0,1
1028,2302,finland,34.0,1
1029,2303,portugal,30.0,1
1030,2306,usa,35.0,1
1032,2309,usa,18.0,1
1033,2314,usa,25.0,1
1036,2320,usa,21.0,1
1037,2321,canada,35.0,1
1038,2322,usa,24.0,1
1040,2327,usa,28.0,1
1041,2331,portugal,27.0,1
1043,2340,usa,29.0,1
1048,2346,spain,22.0,1
1051,2350,usa,24.0,1
1052,2357,usa,35.0,1
1053,2359,netherlands,38.0,1
1054,2361,australia,13.0,1
1056,2366,usa,16.0,1
1057,2368,usa,18.0,1
1058,2370,malaysia,16.0,1
1059,2371,usa,22.0,1
1061,2373,germany,16.0,1
1062,2376,usa,38.0,1
1063,2377,usa,32.0,1
1064,2383,spain,37.0,1
1066,2390,united kingdom,26.0,1
1069,2394,spain,29.0,1
1072,2401,united kingdom,25.0,1
1073,2402,united kingdom,21.0,1
1075,2405,united kingdom,29.0,1
1076,2408,usa,33.0,1
1078,2413,usa,25.0,1
1079,2417,usa,35.0,1
1082,2427,spain,36.0,1
1083,2430,spain,25.0,1
1084,2440,germany,25.0,1
1085,2441,united kingdom,18.0,1
1086,2443,canada,28.0,1
1087,2444,spain,25.0,1
1088,2446,italy,22.0,1
1089,2454,iran,32.0,1
1091,2457,canada,24.0,1
1093,2463,usa,29.0,1
1094,2464,usa,25.0,1
1096,2470,usa,22.0,1
1097,2471,philippines,19.0,1
1098,2472,usa,35.0,1
1099,2473,usa,31.0,1
1100,2477,india,23.0,1
1102,2483,usa,35.0,1
1105,2491,italy,36.0,1
1108,2496,portugal,18.0,1
1109,2501,portugal,34.0,1
1110,2503,united kingdom,36.0,1
1115,2512,spain,28.0,1
1116,2516,spain,21.0,1
1117,2518,spain,28.0,1
1119,2523,spain,33.0,1
1120,2532,usa,16.0,1
1121,2533,spain,28.0,1
1122,2535,united kingdom,38.0,1
1123,2536,italy,29.0,1
1124,2537,canada,28.0,1
1129,2548,france,33.0,1
1130,2554,new zealand,24.0,1
1131,2557,spain,17.0,1
1134,2563,germany,26.0,1
1136,2572,italy,36.0,1
1138,2575,usa,35.0,1
1140,2578,canada,16.0,1
1141,2585,france,25.0,1
1143,2593,usa,34.0,1
1144,2594,australia,22.0,1
1145,2600,spain,29.0,1
1146,2601,australia,18.0,1
1147,2603,united kingdom,23.0,1
1148,2604,usa,22.0,1
1149,2605,usa,33.0,1
1151,2608,usa,17.0,1
1152,2609,germany,22.0,1
1153,2610,australia,21.0,1
1155,2623,iran,19.0,1
1158,2631,usa,18.0,1
1160,2636,usa,32.0,1
1161,2641,usa,28.0,1
1162,2645,usa,34.0,1
1165,2660,germany,27.0,1
1168,2669,spain,24.0,1
1169,2671,united kingdom,22.0,1
1170,2672,united kingdom,17.0,1
1172,2675,usa,35.0,1
1173,2676,usa,34.0,1
1175,2683,usa,17.0,1
1177,2686,usa,24.0,1
1178,2690,usa,35.0,1
1179,2691,italy,21.0,1
1181,2695,brazil,21.0,1
1185,2700,usa,29.0,1
1189,2717,italy,30.0,1
1190,2720,australia,15.0,1
1193,2730,usa,34.0,1
1196,2737,usa,19.0,1
1197,2739,usa,27.0,1
1199,2742,usa,37.0,1
1202,2748,spain,26.0,1
1203,2751,usa,21.0,1
1208,2762,portugal,26.0,1
1209,2767,canada,22.0,1
1211,2772,canada,20.0,1
1212,2773,usa,36.0,1
1213,2774,usa,28.0,1
1215,2779,portugal,20.0,1
1217,2785,germany,34.0,1
1218,2787,india,26.0,1
1219,2792,spain,32.0,1
1221,2796,usa,32.0,1
1222,2801,portugal,25.0,1
1226,2809,germany,16.0,1
1227,2811,portugal,22.0,1
1229,2815,spain,18.0,1
1230,2816,spain,18.0,1
1231,2819,france,19.0,1
1232,2821,spain,30.0,1
1233,2822,italy,37.0,1
1237,2826,spain,37.0,1
1239,2828,usa,26.0,1
1241,2830,australia,13.0,1
1242,2831,spain,26.0,1
1245,2840,new zealand,18.0,1
1246,2841,usa,38.0,1
1248,2846,united kingdom,26.0,1
1249,2848,usa,26.0,1
1250,2849,spain,28.0,1
1252,2856,usa,29.0,1
1253,2857,usa,29.0,1
1255,2860,germany,35.0,1
1256,2862,germany,20.0,1
1257,2865,usa,25.0,1
1258,2866,usa,15.0,1
1259,2867,china,23.0,1
1261,2874,usa,19.0,1
1262,2875,united kingdom,33.0,1
1263,2876,usa,22.0,1
1267,2885,usa,33.0,1
1269,2888,spain,17.0,1
1270,2890,turkey,37.0,1
1271,2894,spain,24.0,1
1272,2895,sri lanka,26.0,1
1273,2898,spain,30.0,1
1276,2905,spain,27.0,1
1277,2910,iran,22.0,1
1281,2915,united kingdom,34.0,1
1284,2920,netherlands,18.0,1
1285,2922,usa,20.0,1
1286,2923,iran,22.0,1
1287,2925,spain,22.0,1
1288,2926,usa,25.0,1
1289,2928,usa,25.0,1
1292,2934,usa,28.0,1
1297,2951,usa,32.0,1
1298,2952,usa,23.0,1
1299,2957,new zealand,34.0,1
1301,2961,usa,32.0,1
1303,2967,usa,29.0,1
1305,2971,china,34.0,1
1307,2975,usa,28.0,1
1309,2983,united kingdom,25.0,1
1310,2985,united kingdom,17.0,1
1311,2986,philippines,18.0,1
1315,2990,italy,18.0,1
1318,2999,china,26.0,1
1319,3000,usa,17.0,1
1321,3002,spain,21.0,1
1322,3004,mexico,29.0,1
1323,3007,spain,18.0,1
1324,3008,usa,17.0,1
1325,3010,usa,34.0,1
1326,3011,bosnia and herzegovina,19.0,1
1327,3013,spain,18.0,1
1328,3014,germany,32.0,1
1329,3015,spain,25.0,1
1330,3016,usa,35.0,1
1331,3018,canada,20.0,1
1332,3019,usa,24.0,1
1333,3024,usa,34.0,1
1334,3025,usa,27.0,1
1336,3028,italy,21.0,1
1337,3029,spain,20.0,1
1339,3037,usa,28.0,1
1340,3038,italy,29.0,1
1341,3040,portugal,25.0,1
1342,3041,usa,15.0,1
1343,3042,usa,23.0,1
1344,3043,spain,34.0,1
1346,3050,usa,29.0,1
1347,3051,germany,18.0,1
1348,3052,usa,31.0,1
1349,3055,germany,24.0,1
1350,3057,",",30.0,1
1352,3061,usa,19.0,1
1354,3069,finland,21.0,1
1355,3070,usa,29.0,1
1356,3072,philippines,15.0,1
1361,3084,united kingdom,26.0,1
1363,3086,france,21.0,1
1364,3087,usa,20.0,1
1365,3090,usa,23.0,1
1367,3092,france,33.0,1
1369,3098,united kingdom,34.0,1
1372,3110,italy,25.0,1
1373,3112,usa,33.0,1
1374,3115,mexico,33.0,1
1375,3117,spain,23.0,1
1376,3120,usa,20.0,1
1378,3122,usa,27.0,1
1379,3125,malaysia,19.0,1
1380,3126,malaysia,28.0,1
1381,3128,usa,27.0,1
1382,3130,usa,35.0,1
1383,3131,usa,30.0,1
1384,3132,usa,18.0,1
1385,3133,usa,34.0,1
1387,3135,usa,28.0,1
1388,3136,united kingdom,38.0,1
1389,3137,usa,26.0,1
1390,3138,usa,33.0,1
1391,3140,usa,34.0,1
1392,3144,usa,32.0,1
1393,3147,usa,36.0,1
1395,3156,usa,30.0,1
1396,3158,malaysia,21.0,1
1397,3160,usa,23.0,1
1398,3161,philippines,39.0,1
1399,3164,usa,34.0,1
1400,3169,usa,32.0,1
1401,3171,australia,26.0,1
1402,3172,usa,32.0,1
1403,3173,australia,16.0,1
1404,3174,usa,24.0,1
1405,3176,usa,30.0,1
1407,3179,france,34.0,1
1408,3180,malaysia,22.0,1
1409,3181,spain,21.0,1
1411,3183,united kingdom,21.0,1
1412,3184,spain,18.0,1
1413,3187,spain,24.0,1
1414,3188,usa,29.0,1
1415,3194,usa,20.0,1
1417,3196,mexico,20.0,1
1418,3199,united kingdom,30.0,1
1419,3201,united kingdom,38.0,1
1420,3206,spain,23.0,1
1421,3207,spain,35.0,1
1422,3208,spain,20.0,1
1423,3209,spain,24.0,1
1424,3210,malaysia,19.0,1
1425,3212,spain,18.0,1
1426,3213,spain,37.0,1
1427,3214,australia,22.0,1
1428,3215,spain,30.0,1
1430,3218,finland,21.0,1
1431,3219,germany,36.0,1
1432,3220,spain,33.0,1
1434,3222,united kingdom,15.0,1
1438,3230,usa,18.0,1
1440,3233,usa,22.0,1
1441,3235,spain,22.0,1
1443,3239,usa,20.0,1
1444,3240,spain,33.0,1
1446,3242,finland,27.0,1
1448,3248,united kingdom,20.0,1
1449,3252,usa,17.0,1
1450,3253,spain,18.0,1
1452,3255,united kingdom,21.0,1
1453,3256,usa,27.0,1
1454,3258,philippines,20.0,1
1455,3263,italy,27.0,1
1458,3270,usa,21.0,1
1463,3277,usa,36.0,1
1464,3278,usa,31.0,1
1465,3279,malaysia,23.0,1
1467,3284,united kingdom,15.0,1
1468,3285,portugal,23.0,1
1470,3287,australia,14.0,1
1471,3292,usa,29.0,1
1472,3295,usa,32.0,1
1474,3297,united kingdom,36.0,1
1476,3303,germany,24.0,1
1477,3311,germany,30.0,1
1478,3312,usa,22.0,1
1480,3317,usa,20.0,1
1483,3324,germany,22.0,1
1487,3336,spain,25.0,1
1488,3337,spain,15.0,1
1489,3339,usa,34.0,1
1490,3340,italy,22.0,1
1492,3342,usa,21.0,1
1493,3345,united kingdom,24.0,1
1494,3352,belgium,26.0,1
1495,3353,germany,23.0,1
1497,3359,usa,21.0,1
