,uid,location,age,cluster
3829,8526,ireland,56.0,2
3832,8533,croatia,28.0,2
3841,8552,austria,33.0,2
3868,8607,chile,21.0,2
3871,8611,"portugal""",37.0,2
3881,8626,sweden,20.0,2
3890,8645,russia,22.0,2
3892,8647,russia,20.0,2
3893,8649,greece,26.0,2
3904,8670,austria,39.0,2
3905,8673,luxembourg,31.0,2
3906,8675,"portugal""",53.0,2
3907,8678,yugoslavia,20.0,2
3912,8690,argentina,54.0,2
3917,8705,romania,37.0,2
3933,8760,romania,17.0,2
3936,8763,sweden,27.0,2
3943,8778,austria,21.0,2
3951,8796,denmark,23.0,2
3952,8797,sweden,18.0,2
3955,8809,south africa,14.0,2
3972,8838,ireland,21.0,2
3989,8876,"portugal""",46.0,2
3993,8885,romania,31.0,2
3995,8888,sweden,28.0,2
3999,8898,chile,33.0,2
4004,8912,argentina,22.0,2
4028,8983,argentina,37.0,2
4029,8985,argentina,21.0,2
4034,8995,argentina,28.0,2
4091,9113,romania,26.0,2
4096,9130,argentina,28.0,2
4104,9150,austria,28.0,2
4110,9162,russia,21.0,2
4112,9166,poland,40.0,2
4124,9201,slovakia,16.0,2
4138,9236,argentina,16.0,2
4139,9237,venezuela,19.0,2
4146,9254,hong kong,23.0,2
4147,9255,chile,26.0,2
4168,9297,nigeria,24.0,2
4178,9321,trinidad and tobago,25.0,2
4186,9333,costa rica,27.0,2
4192,9355,argentina,21.0,2
4202,9370,la france,17.0,2
4223,9402,dominican republic,31.0,2
4250,9464,singapore,54.0,2
4254,9469,poland,25.0,2
4291,9542,japan,28.0,2
4310,9581,greece,32.0,2
4322,9602,colombia,23.0,2
4345,9643,ireland,36.0,2
4366,9677,bulgaria,25.0,2
4400,9752,argentina,34.0,2
4438,9813,greece,22.0,2
4456,9841,chile,23.0,2
4506,9950,venezuela,55.0,2
4524,9995,singapore,20.0,2
4543,10033,luxembourg,29.0,2
4548,10038,russia,24.0,2
4557,10058,indonesia,22.0,2
4563,10073,greece,38.0,2
4638,10237,sweden,33.0,2
4641,10244,peru,31.0,2
4653,10271,greece,23.0,2
4663,10287,sweden,28.0,2
4675,10306,slovakia,19.0,2
4692,10336,south korea,26.0,2
4693,10340,hungary,49.0,2
4702,10358,poland,21.0,2
4709,10375,pakistan,22.0,2
4735,10420,costa rica,24.0,2
4743,10437,austria,26.0,2
4752,10454,poland,31.0,2
4767,10476,slovenia,18.0,2
4784,10518,south africa,25.0,2
4813,10581,ecuador,18.0,2
4823,10604,sweden,43.0,2
4831,10633,sweden,20.0,2
4833,10637,argentina,25.0,2
4835,10641,denmark,40.0,2
4836,10645,sweden,29.0,2
4839,10652,sweden,30.0,2
4851,10684,singapore,33.0,2
4886,10792,austria,40.0,2
4895,10831,ukraine,21.0,2
4899,10841,panama,33.0,2
4905,10853,costa rica,31.0,2
4913,10880,sweden,26.0,2
4920,10890,south korea,33.0,2
4936,10933,poland,22.0,2
4974,11029,ireland,29.0,2
5007,11116,south africa,25.0,2
5013,11129,denmark,52.0,2
5046,11210,singapore,19.0,2
5069,11269,luxembourg,19.0,2
5073,11286,indonesia,26.0,2
5107,11371,greece,37.0,2
5123,11408,ireland,29.0,2
5148,11478,sweden,31.0,2
5161,11502,nigeria,24.0,2
5163,11506,colombia,55.0,2
5183,11555,greece,28.0,2
5184,11557,greece,26.0,2
5185,11558,south korea,33.0,2
5201,11586,sweden,30.0,2
5238,11679,austria,58.0,2
5239,11680,lithuania,16.0,2
5265,11730,denmark,28.0,2
5272,11744,singapore,29.0,2
5282,11762,argentina,34.0,2
5286,11769,"n/a,",33.0,2
5304,11801,south africa,29.0,2
5308,11812,singapore,27.0,2
5313,11823,croatia,19.0,2
5352,11920,greece,14.0,2
5353,11921,chile,21.0,2
5373,11958,croatia,27.0,2
5379,11977,"portugal""",37.0,2
5382,11982,austria,24.0,2
5446,12135,japan,39.0,2
5463,12169,israel,16.0,2
5477,12198,costa rica,44.0,2
5513,12277,hong kong,38.0,2
5524,12301,andorra,28.0,2
5570,12403,sweden,27.0,2
5571,12404,austria,62.0,2
5593,12449,denmark,27.0,2
5600,12460,thailand,51.0,2
5614,12494,greece,26.0,2
5623,12509,españa,19.0,2
5625,12523,jamaica,18.0,2
5634,12542,south africa,40.0,2
5639,12553,taiwan,32.0,2
5644,12560,israel,37.0,2
5662,12609,taiwan,27.0,2
5695,12681,peru,18.0,2
5705,12704,singapore,18.0,2
5720,12739,"n/a,",35.0,2
5739,12782,south africa,54.0,2
5769,12855,austria,61.0,2
5776,12869,poland,30.0,2
5799,12921,peru,27.0,2
5812,12953,peru,30.0,2
5814,12959,argentina,47.0,2
5815,12960,argentina,47.0,2
5817,12966,singapore,28.0,2
5823,12985,"spain""",23.0,2
5828,12998,austria,25.0,2
5836,13013,bulgaria,32.0,2
5840,13020,argentina,21.0,2
5855,13046,romania,43.0,2
5861,13058,argentina,31.0,2
5865,13067,sweden,23.0,2
5914,13165,afghanistan,18.0,2
5958,13263,albania,20.0,2
5968,13281,japan,45.0,2
5974,13291,españa,16.0,2
5997,13327,romania,42.0,2
6004,13343,pakistan,27.0,2
6010,13358,argentina,28.0,2
6016,13370,indonesia,29.0,2
6018,13373,latvia,25.0,2
6026,13389,argentina,18.0,2
6029,13397,argentina,18.0,2
6030,13400,romania,21.0,2
6031,13402,romania,16.0,2
6032,13405,argentina,28.0,2
6040,13418,argentina,21.0,2
6041,13419,argentina,21.0,2
6044,13424,chile,36.0,2
6047,13439,greece,23.0,2
6078,13496,israel,56.0,2
6079,13497,venezuela,30.0,2
6098,13530,argentina,27.0,2
6100,13532,israel,22.0,2
6104,13542,singapore,21.0,2
6107,13549,ireland,40.0,2
6109,13563,pakistan,23.0,2
6110,13564,bangladesh,30.0,2
6116,13575,argentina,27.0,2
6133,13608,greece,37.0,2
6157,13669,chile,20.0,2
6176,13718,greece,31.0,2
6199,13758,guatemala,48.0,2
6253,13880,singapore,27.0,2
6280,13936,argentina,40.0,2
6281,13939,argentina,28.0,2
6302,13990,austria,27.0,2
6324,14021,russia,23.0,2
6333,14034,pakistan,20.0,2
6334,14035,pakistan,41.0,2
6335,14038,pakistan,20.0,2
6336,14039,saudi arabia,26.0,2
6337,14042,morocco,22.0,2
6364,14109,venezuela,47.0,2
6365,14112,russia,37.0,2
6386,14155,albania,34.0,2
6389,14161,afghanistan,25.0,2
6406,14196,romania,23.0,2
6423,14237,argentina,49.0,2
6460,14328,austria,30.0,2
6482,14376,peru,37.0,2
6503,14434,bangladesh,25.0,2
6532,14512,sweden,27.0,2
6533,14515,pakistan,18.0,2
6534,14518,sweden,33.0,2
6536,14523,argentina,38.0,2
6544,14540,greece,32.0,2
6547,14548,indonesia,34.0,2
6551,14559,peru,33.0,2
6556,14566,argentina,17.0,2
6572,14608,denmark,31.0,2
6586,14634,romania,30.0,2
6588,14637,croatia,21.0,2
6617,14705,hong kong,16.0,2
6627,14719,pakistan,20.0,2
6642,14745,ireland,26.0,2
6685,14839,egypt,52.0,2
6687,14841,egypt,19.0,2
6691,14850,japan,21.0,2
6695,14858,argentina,16.0,2
6706,14883,poland,27.0,2
6709,14889,japan,24.0,2
6717,14902,poland,22.0,2
6718,14905,poland,17.0,2
6722,14911,pakistan,22.0,2
6747,14968,nigeria,29.0,2
6749,14972,czech republic,26.0,2
6751,14974,pakistan,22.0,2
6759,14991,pakistan,34.0,2
6762,14994,jordan,25.0,2
6763,14995,indonesia,19.0,2
6764,14997,jordan,25.0,2
6789,15060,colombia,19.0,2
6811,15106,israel,35.0,2
6832,15152,colombia,27.0,2
6836,15168,slovenia,26.0,2
6856,15207,costa rica,24.0,2
6858,15212,greece,25.0,2
6862,15219,ukraine,45.0,2
6878,15249,denmark,21.0,2
6883,15261,israel,29.0,2
6892,15285,peru,58.0,2
6895,15294,romania,33.0,2
6925,15338,chile,31.0,2
6943,15377,macedonia,29.0,2
6955,15405,sweden,48.0,2
6961,15432,united arab emirates,42.0,2
6976,15466,greece,34.0,2
6979,15473,argentina,34.0,2
6982,15481,greece,32.0,2
6987,15489,greece,24.0,2
6996,15506,nigeria,19.0,2
7001,15517,nigeria,34.0,2
7006,15531,pakistan,30.0,2
7032,15593,romania,23.0,2
7037,15601,croatia,24.0,2
7043,15612,yugoslavia,23.0,2
7046,15615,thailand,21.0,2
7066,15659,indonesia,16.0,2
7075,15680,greece,33.0,2
7078,15683,pakistan,21.0,2
7085,15693,pakistan,20.0,2
7104,15730,sweden,61.0,2
7108,15735,singapore,26.0,2
7109,15736,singapore,15.0,2
7148,15815,egypt,19.0,2
7154,15827,egypt,22.0,2
7181,15876,taiwan,18.0,2
7194,15909,austria,38.0,2
7207,15934,taiwan,24.0,2
7231,15991,burma,30.0,2
7307,16186,singapore,15.0,2
7312,16198,peru,32.0,2
7317,16207,"n/a,",25.0,2
7332,16234,singapore,22.0,2
7383,16348,greece,20.0,2
7419,16441,austria,19.0,2
7447,16503,argentina,45.0,2
7460,16531,singapore,22.0,2
7475,16568,russia,21.0,2
7479,16572,romania,25.0,2
7481,16577,bulgaria,17.0,2
7505,16632,argentina,42.0,2
7522,16672,czech republic,21.0,2
7541,16716,south korea,20.0,2
7571,16810,sweden,23.0,2
7580,16826,israel,49.0,2
7582,16829,romania,18.0,2
7584,16834,peru,37.0,2
7592,16851,israel,53.0,2
7594,16855,sweden,21.0,2
7606,16885,israel,43.0,2
7616,16912,pakistan,29.0,2
7621,16922,singapore,26.0,2
7626,16930,pakistan,18.0,2
7637,16956,austria,19.0,2
7671,17047,indonesia,17.0,2
7684,17071,sweden,58.0,2
7686,17075,greece,34.0,2
7689,17081,singapore,51.0,2
7694,17088,russia,32.0,2
7709,17115,indonesia,19.0,2
7714,17136,pakistan,29.0,2
7722,17154,israel,42.0,2
7744,17202,israel,24.0,2
7752,17217,egypt,31.0,2
7759,17234,greece,18.0,2
7763,17238,costa rica,42.0,2
7764,17239,"spain""",50.0,2
7772,17252,russia,23.0,2
7789,17291,poland,28.0,2
7791,17294,chile,24.0,2
7813,17345,poland,19.0,2
7833,17382,pakistan,21.0,2
7860,17445,romania,29.0,2
7880,17488,pakistan,22.0,2
7882,17491,egypt,17.0,2
7888,17503,pakistan,25.0,2
7893,17518,egypt,29.0,2
7897,17528,singapore,22.0,2
7914,17567,sweden,25.0,2
7920,17581,croatia,31.0,2
7921,17584,poland,22.0,2
7939,17629,chile,27.0,2
7947,17650,greece,26.0,2
7961,17677,slovakia,17.0,2
7964,17688,morocco,51.0,2
7965,17692,czech republic,49.0,2
8021,17821,bangladesh,29.0,2
8168,18171,venezuela,36.0,2
8169,18175,andorra,27.0,2
8172,18180,vietnam,31.0,2
8176,18189,indonesia,49.0,2
8184,18209,singapore,30.0,2
8207,18260,russia,23.0,2
8214,18272,jordan,37.0,2
8241,18334,ireland,19.0,2
8272,18400,slovakia,29.0,2
8315,18511,hungary,23.0,2
8329,18536,united arab emirates,32.0,2
8330,18538,indonesia,21.0,2
8368,18625,pakistan,24.0,2
8369,18627,hong kong,17.0,2
8381,18663,south korea,33.0,2
8385,18680,hungary,26.0,2
8391,18693,nepal,29.0,2
8393,18695,taiwan,32.0,2
8404,18723,denmark,26.0,2
8432,18778,austria,39.0,2
8457,18839,pakistan,18.0,2
8458,18840,pakistan,18.0,2
8479,18890,pakistan,14.0,2
8482,18898,sweden,56.0,2
8485,18904,croatia,32.0,2
8516,18967,yugoslavia,23.0,2
8534,19006,sweden,26.0,2
8535,19007,ireland,34.0,2
8586,19124,south korea,33.0,2
8590,19134,bangladesh,43.0,2
8600,19151,ireland,25.0,2
8637,19235,south korea,42.0,2
8652,19261,la france,49.0,2
8653,19262,la france,49.0,2
8659,19276,romania,20.0,2
8719,19442,austria,25.0,2
8724,19457,albania,16.0,2
8758,19563,slovakia,18.0,2
8819,19721,sweden,33.0,2
8841,19770,sweden,48.0,2
8857,19820,vietnam,21.0,2
8858,19823,greece,42.0,2
8862,19832,austria,35.0,2
8903,19916,ireland,30.0,2
8917,19946,greece,25.0,2
8948,20039,denmark,32.0,2
8950,20044,"spain""",36.0,2
8963,20084,czech republic,27.0,2
9016,20213,argentina,21.0,2
9018,20225,argentina,53.0,2
9036,20268,colombia,17.0,2
9037,20269,indonesia,25.0,2
9039,20271,argentina,33.0,2
9046,20283,lebanon,19.0,2
9123,20473,nigeria,26.0,2
9125,20478,indonesia,20.0,2
9126,20479,indonesia,22.0,2
9132,20492,united arab emirates,22.0,2
9202,20653,austria,22.0,2
9241,20756,singapore,56.0,2
9360,21095,slovakia,27.0,2
9370,21114,argentina,25.0,2
9382,21144,thailand,28.0,2
9488,21409,sweden,31.0,2
9490,21414,argentina,49.0,2
9512,21458,singapore,47.0,2
9532,21498,chile,22.0,2
9561,21561,russia,25.0,2
9696,21836,singapore,22.0,2
9703,21851,russia,30.0,2
9740,21975,austria,24.0,2
9777,22085,romania,20.0,2
9799,22136,poland,25.0,2
9819,22182,lebanon,27.0,2
9840,22232,costa rica,35.0,2
9850,22257,morocco,53.0,2
9863,22285,chile,23.0,2
9864,22286,"spain""",26.0,2
9867,22289,chile,23.0,2
9885,22335,united arab emirates,14.0,2
9981,22565,sweden,37.0,2
9984,22571,argentina,20.0,2
9985,22572,chile,21.0,2
9997,22591,albania,53.0,2
10008,22616,austria,64.0,2
10020,22638,sweden,34.0,2
10041,22675,russia,25.0,2
10060,22726,paraguay,47.0,2
10088,22781,denmark,50.0,2
10095,22794,south korea,52.0,2
10102,22806,argentina,25.0,2
10119,22869,poland,55.0,2
10130,22905,ireland,29.0,2
10148,22935,south africa,40.0,2
10178,22993,singapore,24.0,2
10184,23010,denmark,48.0,2
10211,23078,saudi arabia,54.0,2
10215,23090,poland,23.0,2
10233,23126,argentina,48.0,2
10237,23140,sweden,29.0,2
10243,23162,sweden,20.0,2
10282,23256,andorra,27.0,2
10302,23295,argentina,24.0,2
10321,23346,ireland,47.0,2
10330,23368,venezuela,14.0,2
10339,23382,argentina,20.0,2
10349,23413,chile,21.0,2
10350,23414,austria,28.0,2
10372,23463,russia,19.0,2
10403,23530,poland,19.0,2
10404,23531,afghanistan,31.0,2
10412,23549,pakistan,31.0,2
10419,23565,cuba,63.0,2
10483,23718,argentina,41.0,2
10484,23721,chile,19.0,2
10537,23858,argentina,33.0,2
10566,23947,ireland,42.0,2
10598,24038,cyprus,54.0,2
10643,24148,austria,30.0,2
10718,24319,pakistan,20.0,2
10754,24406,austria,56.0,2
10772,24468,sweden,56.0,2
10777,24476,austria,39.0,2
10782,24488,indonesia,19.0,2
10785,24492,romania,24.0,2
10824,24611,denmark,42.0,2
10856,24704,sweden,55.0,2
10863,24721,bulgaria,19.0,2
10865,24723,denmark,39.0,2
10872,24736,sweden,39.0,2
10874,24740,luxembourg,70.0,2
10881,24763,egypt,28.0,2
10896,24803,poland,21.0,2
10940,24905,hong kong,35.0,2
10951,24924,bahamas,34.0,2
10975,24996,nigeria,30.0,2
11026,25115,croatia,25.0,2
11034,25142,argentina,52.0,2
11058,25209,nigeria,22.0,2
11079,25255,south africa,14.0,2
11103,25302,slovakia,14.0,2
11127,25363,japan,39.0,2
11162,25427,saudi arabia,35.0,2
11253,25657,ireland,22.0,2
11265,25693,sweden,37.0,2
11267,25696,pakistan,35.0,2
11339,25874,indonesia,29.0,2
11423,26061,sweden,61.0,2
11435,26098,chile,18.0,2
11436,26100,poland,18.0,2
11441,26116,yugoslavia,27.0,2
11447,26142,czech republic,37.0,2
11461,26177,bulgaria,31.0,2
11551,26379,singapore,21.0,2
11568,26425,sweden,31.0,2
11605,26534,austria,35.0,2
11650,26669,singapore,15.0,2
11681,26744,chile,27.0,2
11761,26926,ireland,14.0,2
11813,27045,"spain""",40.0,2
11816,27050,singapore,15.0,2
11830,27080,singapore,17.0,2
11833,27087,austria,39.0,2
11849,27132,slovenia,16.0,2
11861,27164,romania,24.0,2
11864,27171,jamaica,43.0,2
11870,27179,albania,28.0,2
11878,27199,pakistan,19.0,2
11907,27275,denmark,32.0,2
11939,27368,czech republic,25.0,2
11943,27379,argentina,20.0,2
11977,27459,austria,27.0,2
12023,27564,israel,17.0,2
12031,27577,singapore,20.0,2
12035,27587,lithuania,17.0,2
12050,27627,ireland,21.0,2
12059,27654,argentina,53.0,2
12101,27737,"spain""",20.0,2
12114,27766,japan,25.0,2
12128,27792,singapore,20.0,2
12158,27859,poland,17.0,2
12183,27920,austria,17.0,2
12244,28052,hong kong,34.0,2
12288,28164,indonesia,25.0,2
12304,28193,singapore,25.0,2
12337,28277,argentina,17.0,2
12384,28382,south korea,23.0,2
12393,28405,poland,32.0,2
12420,28452,poland,28.0,2
12429,28469,argentina,39.0,2
12440,28498,singapore,16.0,2
12443,28507,argentina,50.0,2
12452,28524,slovakia,16.0,2
12463,28551,singapore,15.0,2
12464,28554,romania,21.0,2
12468,28574,costa rica,21.0,2
12495,28633,saudi arabia,55.0,2
12496,28639,hong kong,43.0,2
12524,28706,south korea,44.0,2
12527,28721,singapore,55.0,2
12541,28754,poland,21.0,2
12555,28780,greece,27.0,2
12615,28929,austria,37.0,2
12647,29002,sweden,34.0,2
12655,29023,singapore,35.0,2
12667,29048,saudi arabia,55.0,2
12685,29105,sweden,21.0,2
12700,29142,yugoslavia,16.0,2
12755,29283,sweden,37.0,2
12758,29286,argentina,22.0,2
12783,29365,indonesia,20.0,2
12788,29382,czech republic,60.0,2
12792,29388,romania,27.0,2
12819,29447,ireland,34.0,2
12821,29449,austria,46.0,2
12822,29450,morocco,27.0,2
12831,29462,argentina,19.0,2
12842,29491,croatia,25.0,2
12847,29501,yugoslavia,24.0,2
12849,29510,singapore,29.0,2
12852,29522,sweden,35.0,2
12883,29589,ireland,28.0,2
12889,29601,sweden,21.0,2
12897,29618,bulgaria,34.0,2
12916,29664,chile,26.0,2
12924,29678,russia,19.0,2
12927,29684,singapore,19.0,2
12946,29729,egypt,21.0,2
12949,29735,"n/a,",25.0,2
12991,29837,singapore,51.0,2
12992,29838,sweden,26.0,2
13041,29962,singapore,24.0,2
13125,30188,sweden,31.0,2
13198,30379,japan,38.0,2
13205,30396,jamaica,15.0,2
13234,30497,argentina,13.0,2
13236,30501,austria,18.0,2
13242,30519,south africa,37.0,2
13245,30524,pakistan,25.0,2
13250,30537,denmark,39.0,2
13281,30634,lithuania,18.0,2
13307,30702,austria,28.0,2
13310,30710,pakistan,38.0,2
