,uid,isbn,rating
200,30489,0446310786,10
201,32089,0446310786,7
202,61888,0446310786,9
203,68861,0446310786,10
204,90046,0446310786,9
205,112570,0446310786,6
206,117781,0446310786,9
207,119341,0446310786,8
208,129641,0446310786,10
209,137746,0446310786,7
210,137940,0446310786,8
211,141023,0446310786,5
212,144791,0446310786,10
213,177989,0446310786,5
214,178953,0446310786,9
215,204100,0446310786,10
216,204494,0446310786,10
217,219650,0446310786,8
218,224093,0446310786,9
219,227494,0446310786,9
220,238390,0446310786,6
221,276953,0446310786,10
222,367,0449005615,9
223,61888,0449005615,9
224,93909,0449005615,8
225,128541,0449005615,8
226,131767,0449005615,9
227,132686,0449005615,10
228,144412,0449005615,8
229,170224,0449005615,9
230,170620,0449005615,8
231,174807,0449005615,10
232,180314,0449005615,7
233,192762,0449005615,9
234,209062,0449005615,8
235,226665,0449005615,9
236,242989,0449005615,4
237,250724,0449005615,8
238,251253,0449005615,10
239,257900,0449005615,7
240,223096,0060168013,8
241,252348,0061099686,6
242,88118,0671888587,8
243,42,0553582747,7
244,49377,0553582747,8
245,127321,0553582747,6
246,147607,0553582747,8
247,155439,0553582747,10
248,169065,0553582747,10
249,35788,0425182908,9
250,128742,0425182908,5
251,223748,0425182908,2
252,236909,0425182908,8
253,186447,042518630X,4
254,271604,042518630X,7
255,44,0440223571,8
256,230900,0440223571,7
257,46500,0842342702,9
258,110929,0842342702,8
259,125045,0842342702,8
260,173538,0842342702,10
261,173901,0842342702,9
262,261265,0842342702,8
263,51,0440225701,9
264,52328,0440225701,10
265,74637,0440225701,8
266,115675,0440225701,8
267,128639,0440225701,8
268,176577,0440225701,9
269,180903,0440225701,10
270,203274,0440225701,10
271,224427,0440225701,9
272,228249,0440225701,8
273,232316,0440225701,6
274,233670,0440225701,8
275,243488,0440225701,5
276,268244,0440225701,10
277,274361,0440225701,8
278,134408,0679810307,10
279,238865,0312970242,7
280,228889,1853260053,10
281,24140,0140067477,10
282,34222,0140067477,10
283,103526,0140067477,8
284,110599,0140067477,9
285,135301,0140067477,8
286,246625,0140067477,10
287,270919,0140067477,9
288,11648,0345465083,8
289,12549,0345465083,8
290,43321,0345465083,6
291,48764,0345465083,7
292,125009,0345465083,7
293,174709,0345465083,8
294,194305,0345465083,5
295,208890,0345465083,7
296,247795,0345465083,7
297,75,1558531025,5
298,60185,1558531025,8
299,88103,1558531025,7
300,32914,0441783589,7
301,43633,0441783589,9
302,49845,0441783589,7
303,80301,0441783589,9
304,109577,0441783589,9
305,169185,0441783589,6
306,246263,0441783589,9
307,52112,0375410538,7
308,64530,0375410538,10
309,12966,0316769487,9
310,19132,0316769487,8
311,41360,0316769487,8
312,46341,0316769487,8
313,68373,0316769487,7
314,69661,0316769487,4
315,72244,0316769487,7
316,84289,0316769487,10
317,86290,0316769487,8
318,100510,0316769487,7
319,101046,0316769487,8
320,104425,0316769487,10
321,108394,0316769487,10
322,112570,0316769487,8
323,117073,0316769487,5
324,135418,0316769487,8
325,165176,0316769487,8
326,173494,0316769487,7
327,174434,0316769487,6
328,185111,0316769487,8
329,185339,0316769487,10
330,197644,0316769487,10
331,202417,0316769487,9
332,206389,0316769487,8
333,208886,0316769487,8
334,209882,0316769487,8
335,220736,0316769487,5
336,223364,0316769487,7
337,225730,0316769487,7
338,232195,0316769487,7
339,239502,0316769487,8
340,249578,0316769487,8
341,250503,0316769487,8
342,258566,0316769487,10
343,125,0679429220,10
344,52008,0679429220,7
345,106036,0679429220,6
346,107286,0679429220,7
347,132157,0679429220,9
348,139548,0679429220,6
349,188026,0679429220,8
350,199390,0679429220,8
351,258266,0679429220,8
352,178112,0671867156,9
353,187236,0671867156,8
354,244574,0671867156,9
355,9652,0451166892,9
356,16782,0451166892,10
357,34222,0451166892,9
358,132303,0451166892,9
359,155117,0451166892,7
360,205571,0451166892,7
361,214252,0451166892,9
362,234530,0451166892,10
363,245559,0451166892,8
364,276755,0451166892,5
365,85619,067976397X,8
366,4821,0786868716,6
367,15780,0786868716,9
368,19433,0786868716,6
369,21494,0786868716,9
370,28705,0786868716,9
371,40745,0786868716,8
372,59193,0786868716,8
373,87632,0786868716,9
374,91456,0786868716,8
375,92048,0786868716,9
376,103493,0786868716,8
377,104166,0786868716,8
378,108711,0786868716,6
379,111539,0786868716,9
380,123418,0786868716,8
381,124563,0786868716,10
382,130263,0786868716,8
383,134234,0786868716,10
384,135472,0786868716,5
385,135830,0786868716,10
386,142487,0786868716,10
387,152481,0786868716,10
388,157511,0786868716,8
389,159648,0786868716,10
390,160670,0786868716,9
391,164401,0786868716,9
392,173342,0786868716,9
393,175832,0786868716,10
394,183745,0786868716,5
395,193935,0786868716,10
396,199870,0786868716,9
397,206627,0786868716,9
398,212877,0786868716,10
399,216643,0786868716,10
400,225255,0786868716,10
401,229010,0786868716,8
402,233927,0786868716,5
403,241799,0786868716,9
404,242548,0786868716,7
405,248062,0786868716,10
406,254704,0786868716,8
407,267117,0786868716,10
408,269702,0786868716,6
409,6906,0446608653,7
410,242457,0446608653,7
411,54416,0451208080,6
412,176340,0553584383,6
413,129,0316735736,7
414,48111,0380619458,9
415,158662,0380619458,8
416,14535,0743249992,8
417,35097,0425184226,8
418,117215,0060929790,7
419,203916,0060929790,7
420,10959,0060976845,9
421,13503,0060976845,10
422,34868,0060976845,7
423,41580,0060976845,10
424,108947,0060976845,8
425,113919,0060976845,7
426,122293,0060976845,7
427,162755,0060976845,3
428,168755,0060976845,8
429,188279,0060976845,8
430,200783,0060976845,8
431,236408,0060976845,7
432,123886,0061099325,8
433,196039,0061099325,7
434,200956,0446601640,5
435,24677,038572179X,10
436,57943,038572179X,9
437,66917,038572179X,8
438,97950,038572179X,8
439,119529,038572179X,8
440,175865,038572179X,5
441,178,0451410319,6
442,134480,8401422825,9
443,45544,0380778556,9
444,49485,0380778556,7
445,144790,0380778556,10
446,239317,0380778556,9
447,277783,0380778556,8
448,277827,0380778556,9
449,277828,0380778556,8
450,190,0002740230,7
451,195900,0385336772,8
452,238573,0812575482,10
453,273121,0812575482,8
454,269833,044651747X,6
455,212,0060801263,8
456,215,0061030147,6
457,82157,0671461494,9
458,228,0385337639,7
459,16790,0385337639,9
460,139727,0385337639,7
461,174405,0385337639,10
462,230003,0385337639,6
463,239613,0385337639,8
464,228,039575514X,9
465,134584,039575514X,8
466,48306,0330332775,10
467,180206,0330332775,9
468,90469,0060977493,9
469,160700,0060977493,9
470,183034,0060977493,5
471,30625,0156006529,7
472,139998,0156006529,9
473,248071,0156006529,5
474,265365,0156006529,5
475,34314,0345378490,8
476,102965,0345378490,8
477,124501,0345378490,8
478,132978,0345378490,4
479,227748,0345378490,9
480,257346,0345378490,6
481,165182,0345404793,5
482,209186,0345409051,7
483,82359,0375400117,5
484,88843,0375400117,7
485,142545,0375400117,7
486,83895,0375705856,8
487,109048,0375705856,10
488,113906,0375705856,7
489,236418,0375705856,5
490,248095,0375705856,8
491,201206,0380717018,8
492,255141,0380717018,7
493,153920,0380718332,5
494,208474,0380718332,6
495,235523,0380718332,10
496,33585,0385508042,10
497,145501,0385508042,6
498,156586,0385508042,5
499,157925,0385508042,6
500,210314,0385508042,5
501,234032,0385508042,6
502,239033,0385508042,6
503,244067,0385508042,10
504,270661,0385508042,7
505,11940,0385511612,5
506,18836,0385511612,10
507,22632,0385511612,10
508,60870,0385511612,8
509,139109,0385511612,5
510,143672,0385511612,7
511,148175,0385511612,7
512,165709,0385511612,7
513,8541,0385720106,6
514,21861,0385720106,9
515,26673,0385720106,8
516,33269,0385720106,8
517,33318,0385720106,8
518,152609,0385720106,7
519,195887,0385720106,5
520,202972,0385720106,7
521,248802,0385720106,5
522,249551,0385720106,8
523,265643,0385720106,6
524,271625,0385720106,7
525,33479,0385730586,7
526,52860,0385730586,10
527,106100,0385730586,9
528,241089,0385730586,3
529,266943,0385730586,8
530,201964,0425163407,8
531,1530,044023722X,8
532,11155,044023722X,6
533,15623,044023722X,8
534,23032,044023722X,8
535,50521,044023722X,9
536,56772,044023722X,5
537,66288,044023722X,4
538,71684,044023722X,8
539,86465,044023722X,7
540,87900,044023722X,7
541,108774,044023722X,7
542,108832,044023722X,7
543,113325,044023722X,9
544,118404,044023722X,8
545,136096,044023722X,5
546,138672,044023722X,8
547,139548,044023722X,8
548,142412,044023722X,9
549,165449,044023722X,9
550,170858,044023722X,5
551,172098,044023722X,6
552,174630,044023722X,7
553,176577,044023722X,7
554,194221,044023722X,9
555,206746,044023722X,4
556,218355,044023722X,7
557,225727,044023722X,8
558,235821,044023722X,8
559,247623,044023722X,6
560,55839,0446353205,10
561,167717,0446353205,10
562,274469,0446358592,8
563,130183,0446360856,7
564,16747,0446600474,5
565,161765,0449006522,9
566,182831,0449006522,6
567,232775,0449006522,8
568,263072,0449006522,8
569,91404,0449911004,8
570,124391,0449911004,7
571,155183,0449911004,9
572,208138,0449911004,9
573,228432,0449911004,8
574,141308,0451162072,9
575,40577,0451186648,9
576,20982,0452282152,8
577,29805,0452282152,8
578,42981,0452282152,4
579,43275,0452282152,7
580,49743,0452282152,7
581,59434,0452282152,6
582,64409,0452282152,7
583,104809,0452282152,9
584,119005,0452282152,6
585,131254,0452282152,7
586,143647,0452282152,7
587,146740,0452282152,10
588,147372,0452282152,10
589,155835,0452282152,7
590,163599,0452282152,5
591,166864,0452282152,10
592,171610,0452282152,8
593,240043,0452282152,8
594,242069,0452282152,8
595,257022,0452282152,10
596,262464,0452282152,7
597,278075,0452282152,8
598,125998,051512219X,7
599,70237,0515130389,9
600,221369,0515130389,8
601,2417,051513290X,7
602,125880,051513290X,7
603,85592,0553580388,8
604,109845,0553580388,5
605,114362,0553580388,8
606,15351,0684848783,7
607,225043,0684848783,6
608,226718,0786863986,3
609,12820,155874262X,8
610,193309,155874262X,6
611,231853,155874262X,7
612,270139,155874262X,9
613,278832,155874262X,10
614,16509,0060987103,9
615,30164,0060987103,7
616,92048,0060987103,10
617,93463,0060987103,9
618,134689,0060987103,8
619,171939,0060987103,8
620,200241,0060987103,10
621,225088,0060987103,10
622,251727,0060987103,7
623,252764,0060987103,10
624,8219,0151008116,7
625,71071,0151008116,4
626,167491,0151008116,9
627,175377,0151008116,9
628,262769,0151008116,7
629,22992,0525947647,10
630,42137,0525947647,9
631,48300,0525947647,10
632,65936,0525947647,10
633,67971,0525947647,7
634,98654,0525947647,10
635,123279,0525947647,9
636,152538,0525947647,9
637,173929,0525947647,10
638,201161,0525947647,9
639,207350,0525947647,10
640,216522,0525947647,10
641,247731,0525947647,9
642,267592,0525947647,8
643,21861,0804111359,7
644,59810,0804111359,8
645,77282,0804111359,10
646,137594,0804111359,4
647,164841,0804111359,8
648,14212,0060391448,9
649,135893,0060391448,8
650,191546,0060391448,9
651,85069,0061020702,9
652,59966,0061020710,10
653,129075,0061020710,8
654,147607,0061020710,7
655,162946,0061020710,8
656,186843,0061020710,10
657,190288,0061020710,10
658,20453,0061092819,7
659,113322,0064471047,2
660,72109,0064472264,9
661,36933,0066238501,10
662,46910,0066238501,10
663,63965,014028009X,8
664,95269,014028009X,6
665,233225,014028009X,10
666,246352,014028009X,8
667,85305,014100018X,8
668,94151,014100018X,5
669,2388,0142001740,6
670,6704,0142001740,10
671,7874,0142001740,9
672,15179,0142001740,9
673,17721,0142001740,8
674,36491,0142001740,6
675,37760,0142001740,8
676,41910,0142001740,10
677,50416,0142001740,9
678,62577,0142001740,10
679,67734,0142001740,9
680,68082,0142001740,9
681,72303,0142001740,9
682,83584,0142001740,8
683,84257,0142001740,9
684,92048,0142001740,10
685,96623,0142001740,8
686,98908,0142001740,5
687,99159,0142001740,7
688,103475,0142001740,8
689,106937,0142001740,10
690,107654,0142001740,9
691,118347,0142001740,10
692,121114,0142001740,9
693,127836,0142001740,10
694,129213,0142001740,8
695,129526,0142001740,8
696,129777,0142001740,10
697,133256,0142001740,8
698,137065,0142001740,9
699,138146,0142001740,10
700,143342,0142001740,6
701,156651,0142001740,9
702,170882,0142001740,7
703,173935,0142001740,8
704,206655,0142001740,7
705,212579,0142001740,10
706,216935,0142001740,10
707,226689,0142001740,8
708,246923,0142001740,4
709,250894,0142001740,6
710,251478,0142001740,8
711,254174,0142001740,7
712,261731,0142001740,8
713,261819,0142001740,9
714,277803,0142001740,8
715,277958,0142001740,9
716,49556,014230218X,7
717,23705,0312151144,5
718,12307,0312305060,8
719,95445,0312305060,10
720,112807,0312305060,7
721,117859,0312305060,7
722,122232,0312305060,8
723,154954,0312305060,8
724,162068,0312305060,8
725,193834,0312305060,9
726,206655,0312305060,6
727,225188,0312305060,8
728,245026,0312305060,8
729,253052,0312305060,9
730,271955,0312305060,9
731,121101,0312890044,6
732,81610,0345350499,9
733,123727,0345350499,7
734,190448,0345350499,9
735,192306,0345350499,10
736,261996,0345350499,10
737,15241,0345384466,9
738,78795,0345384466,5
739,142977,0345384466,8
740,240810,0345384466,6
741,247933,0345384466,10
742,261387,0345384466,9
743,272510,0345384466,9
744,38979,0345387651,7
745,64260,0345387651,8
746,81906,0345387651,7
747,193906,0345387651,8
748,206104,0345387651,8
749,236432,0345387651,10
750,239681,0345387651,10
751,244884,0345387651,3
752,252289,0345387651,10
753,254503,0345387651,8
754,205211,034543014X,8
755,64180,0373218400,8
756,67786,0373218400,9
757,111680,0373218400,10
758,194513,0373218400,8
759,232734,0373218400,8
760,36918,0375724370,3
761,216502,0375724370,8
762,67887,0380730448,8
763,15479,0380789019,6
764,75173,0380789019,7
765,110599,0380789019,8
766,116838,0380789019,8
767,132303,0380789019,9
768,145324,0380789019,6
769,211174,0380789019,6
770,235214,0380789019,8
771,248649,0380789019,9
772,252066,0380789019,8
773,257163,0380789019,8
774,273341,0380789019,8
775,277884,0380789019,7
776,6884,0380789035,8
777,25909,0380789035,10
778,26501,0380789035,8
779,48575,0380789035,10
780,70055,0380789035,9
781,155920,0380789035,10
782,163382,0380789035,4
783,166992,0380789035,7
784,174776,0380789035,9
785,176852,0380789035,7
786,181514,0380789035,10
787,185676,0380789035,6
788,196569,0380789035,8
789,223510,0380789035,8
790,228837,0380789035,10
791,250940,0380789035,8
792,275429,0380789035,9
793,153669,0380973650,8
794,194316,0380977788,9
795,171954,038097827X,9
796,67064,038533348X,8
797,121180,038533348X,7
798,91490,0399146431,9
799,131026,0399146431,9
800,235806,0399146431,10
801,1359,0399501487,7
802,21187,0399501487,8
803,100510,0399501487,9
804,121383,0399501487,6
805,155960,0399501487,9
806,233901,0399501487,7
807,237376,0399501487,5
808,239426,0399501487,6
809,250509,0399501487,7
810,277764,0399501487,9
811,96749,0413537900,8
812,191128,0413537900,8
813,194544,0413537900,7
814,216291,0413537900,9
815,240139,0413537900,8
816,29413,0439064864,8
817,179099,0439064864,9
818,189557,0439064864,10
819,190448,0439064864,8
820,245666,0439064864,10
821,254086,0439064864,10
822,3300,0439136350,10
823,56933,0439136350,8
824,128571,0439136350,10
825,189557,0439136350,10
826,190448,0439136350,8
827,216693,0439136350,10
828,245666,0439136350,10
829,245910,0439136350,6
830,254086,0439136350,10
831,71232,0439139597,9
832,183903,0439139597,9
833,189557,0439139597,10
834,190448,0439139597,8
835,245666,0439139597,10
836,254086,0439139597,10
837,29482,043935806X,7
838,45035,043935806X,10
839,53759,043935806X,9
840,54429,043935806X,10
841,68643,043935806X,5
842,94549,043935806X,10
843,120740,043935806X,9
844,126829,043935806X,9
845,138815,043935806X,10
846,164048,043935806X,10
847,169507,043935806X,10
848,190953,043935806X,10
849,196288,043935806X,10
850,240570,043935806X,10
851,247452,043935806X,8
852,260719,043935806X,10
853,262568,043935806X,7
854,265562,043935806X,9
855,269331,043935806X,7
856,109140,0439510112,10
857,5055,0440211263,6
858,122889,0440211263,6
859,127720,0440211263,7
860,139548,0440211263,8
861,180684,0440211263,10
862,6472,0440241413,8
863,30138,0440241413,7
864,73578,0440241413,7
865,81741,0440241413,7
866,106101,0440241413,8
867,246407,0440241413,8
868,129417,0440419468,8
869,57910,0440967694,10
870,88096,0440967694,9
871,89472,0440967694,10
872,193641,0440967694,9
873,999,0441003257,7
874,33458,0441003257,7
875,94181,0441003257,8
876,95431,0441003257,8
877,101167,0441003257,9
878,106529,0441003257,10
879,206668,0441003257,5
880,227551,0441003257,8
881,242581,0441003257,8
882,185720,0441172695,8
883,81788,0446350109,7
884,101944,0446350109,8
885,213057,0446350109,10
886,175993,0446354678,6
887,193557,0446364762,8
888,199444,0446364762,7
889,59086,0451137965,8
890,95269,0451137965,6
891,213782,0451137965,9
892,252199,0451137965,7
893,264264,0451137965,5
894,250736,0451167317,7
895,1214,0451522389,8
896,48453,0451524934,9
897,54290,0451524934,8
898,64922,0451524934,8
899,166731,0451524934,8
900,255347,0451524934,8
901,263307,0451524934,10
902,22422,0451526279,8
903,10047,0451526341,9
904,83404,0451526341,7
905,90744,0451526341,8
906,94896,0451526341,9
907,107341,0451526341,9
908,253261,0451526341,7
909,256052,0451526341,8
910,269245,0451526341,10
911,13503,0452277337,10
912,100721,0452277337,8
913,277641,0452277337,8
914,194577,051513287X,8
915,17184,0553250531,10
916,45074,0553250531,10
917,82188,0553250531,3
918,25780,0553265741,7
919,52897,0553280589,8
920,53084,0553280589,7
921,159489,0571197639,10
922,271623,0571197639,7
923,86495,0590353403,9
924,92494,0590353403,10
925,95758,0590353403,10
926,148185,0590353403,10
927,189557,0590353403,10
928,190448,0590353403,8
929,245666,0590353403,10
930,254086,0590353403,10
931,264674,0590353403,10
932,266481,0590353403,8
933,276024,0590353403,9
934,127629,059043893X,10
935,69466,0618002219,10
936,277619,0618002219,8
937,49377,0671525743,6
938,60967,0671525743,9
939,1535,067976402X,10
940,7119,067976402X,9
941,52845,067976402X,6
942,54783,067976402X,6
943,79444,067976402X,9
944,103526,067976402X,9
945,120411,067976402X,9
946,123051,067976402X,9
947,124158,067976402X,10
948,125579,067976402X,8
949,126881,067976402X,7
950,143121,067976402X,10
951,144206,067976402X,8
952,156479,067976402X,8
953,190512,067976402X,8
954,208152,067976402X,9
955,215161,067976402X,6
956,218809,067976402X,7
957,233309,067976402X,8
958,240252,067976402X,8
959,258871,067976402X,8
960,264553,067976402X,10
961,147138,0679879242,7
962,168058,0679879242,10
963,7507,0684872153,8
964,77222,0684872153,9
965,88825,0684872153,5
966,108496,0684872153,9
967,203516,0684872153,8
968,210275,0684872153,10
969,226215,0684872153,9
970,233931,0684872153,8
971,247336,0684872153,10
972,258982,0684872153,6
973,269556,0684872153,10
974,10630,0684874350,9
975,46920,0684874350,8
976,82414,0684874350,8
977,107911,0684874350,8
978,116000,0684874350,9
979,138518,0684874350,7
980,145703,0684874350,9
981,173280,0684874350,9
982,182055,0684874350,8
983,262713,0684874350,8
984,252110,0963094424,9
985,169119,1551667959,10
986,15883,0374270325,9
987,278085,0374270325,7
988,83090,0375719180,8
989,120665,0375719180,9
990,155519,0375719180,10
991,52400,0440235502,10
992,222978,0440235502,10
993,225248,0345391691,7
994,278,0590431110,6
995,289,0064470113,7
996,289,0553571486,6
997,108444,0312963009,3
998,302,0312988699,4
999,75809,0486282112,7
1000,119583,0486282112,8
1001,245237,0486282112,7
1002,252227,0486282112,8
1003,194174,0345371984,9
1004,332,0380730138,6
1005,5296,0380730138,6
1006,54167,0380730138,8
1007,121868,0380730138,5
1008,143353,0380730138,6
1009,208667,0380730138,10
1010,244570,0380730138,10
1011,260803,0380730138,5
1012,273473,0380730138,5
1013,76821,0425120279,9
1014,345,067153484X,6
1015,69903,0060188731,3
1016,72968,0060188731,8
1017,116191,0060188731,9
1018,168749,0060188731,8
1019,200487,0449005410,6
1020,102431,0515128554,8
1021,136215,0515128554,10
1022,273603,0515128554,9
1023,274709,0590450875,8
1024,154223,0743411269,4
1025,165215,0743411269,9
1026,176074,0743411269,8
1027,194177,0743411269,9
1028,233112,0743411269,8
1029,166812,0767905938,8
1030,231847,0767905938,8
1031,55251,0156528207,10
1032,97318,0156528207,10
1033,110785,0156528207,10
1034,173508,0156528207,10
1035,274385,0785815147,8
1036,19648,0671867113,10
1037,38618,0671867113,8
1038,68126,0671867113,4
1039,176679,0671867113,8
1040,251017,0671867113,9
1041,80503,0060973897,8
1042,264553,0060973897,10
1043,6670,006101351X,8
1044,23896,006101351X,8
1045,54808,006101351X,10
1046,75281,006101351X,8
1047,106606,006101351X,8
1048,169075,006101351X,7
1049,244526,006101351X,5
1050,187110,0312143370,7
1051,8240,0440224675,8
1052,34957,0440224675,9
1053,128639,0440224675,7
1054,141927,0440224675,10
1055,187018,0440224675,9
1056,237747,0440224675,8
1057,250517,0440224675,8
1058,254577,0449213773,4
1059,131026,0679427430,10
1060,28467,1878424319,10
1061,31141,1878424319,10
1062,61888,1878424319,10
1063,90752,1878424319,8
1064,183129,1878424319,10
1065,189718,1878424319,8
1066,260549,1853260622,8
1067,16475,0312283784,8
1068,79430,0312283784,8
1069,176609,0345335465,9
1070,272415,0345335465,5
1071,76840,0843136685,2
1072,220736,0866119531,5
1073,2366,0553210092,8
1074,7769,0553210092,5
1075,36114,0553210092,7
1076,31677,0316168815,8
1077,141178,0316168815,8
1078,181191,0316168815,8
1079,270154,0316168815,1
1080,43673,0345424719,8
1081,99198,0345424719,10
1082,137604,0345424719,5
1083,26020,0375726403,9
1084,41657,0375726403,8
1085,46279,0375726403,8
1086,48980,0375726403,10
1087,59430,0375726403,4
1088,94027,0375726403,3
1089,96239,0375726403,8
1090,101520,0375726403,4
1091,119529,0375726403,8
1092,149936,0375726403,8
1093,164141,0375726403,4
1094,178157,0375726403,8
1095,180160,0375726403,7
1096,200668,0375726403,8
1097,221702,0375726403,8
1098,5710,0425156842,8
1099,218273,0767903579,7
1100,10313,0805063897,7
1101,37129,0805063897,10
1102,42137,0805063897,9
1103,59430,0805063897,7
1104,71683,0805063897,8
1105,92800,0805063897,8
1106,105430,0805063897,9
1107,121534,0805063897,9
1108,125940,0805063897,8
1109,126123,0805063897,8
1110,133332,0805063897,8
1111,150221,0805063897,9
1112,185360,0805063897,10
1113,198860,0805063897,9
1114,211269,0805063897,8
1115,232403,0805063897,8
1116,233374,0805063897,9
1117,250419,0671002481,5
1118,162784,0812523385,5
1119,74395,0842329129,10
1120,97905,0842329129,9
1121,108316,0842329129,5
1122,110033,0842329129,10
1123,116721,0842329129,8
1124,116817,0842329129,10
1125,131137,0842329129,6
1126,133294,0842329129,7
1127,137487,0842329129,2
1128,164237,0842329129,5
1129,164495,0842329129,6
1130,169932,0842329129,10
1131,257082,0842329129,9
1132,33489,0345451260,8
1133,95303,0380973545,10
1134,216983,0380973545,9
1135,155263,0743424425,8
1136,127798,0446610178,9
1137,8856,0312195516,7
1138,15071,0312195516,8
1139,26534,0312195516,9
1140,34935,0312195516,9
1141,35177,0312195516,9
1142,36582,0312195516,10
1143,49280,0312195516,8
1144,52449,0312195516,9
1145,55810,0312195516,8
1146,60142,0312195516,9
1147,61851,0312195516,7
1148,72921,0312195516,10
1149,76016,0312195516,9
1150,79430,0312195516,10
1151,80497,0312195516,8
1152,92566,0312195516,8
